,economy,time,EG.ELC.ACCS.ZS
0,AFG,YR1960,
1,AFG,YR1961,
2,AFG,YR1962,
3,AFG,YR1963,
4,AFG,YR1964,
5,AFG,YR1965,
6,AFG,YR1966,
7,AFG,YR1967,
8,AFG,YR1968,
9,AFG,YR1969,
10,AFG,YR1970,
11,AFG,YR1971,
12,AFG,YR1972,
13,AFG,YR1973,
14,AFG,YR1974,
15,AFG,YR1975,
16,AFG,YR1976,
17,AFG,YR1977,
18,AFG,YR1978,
19,AFG,YR1979,
20,AFG,YR1980,
21,AFG,YR1981,
22,AFG,YR1982,
23,AFG,YR1983,
24,AFG,YR1984,
25,AFG,YR1985,
26,AFG,YR1986,
27,AFG,YR1987,
28,AFG,YR1988,
29,AFG,YR1989,
30,AFG,YR1990,
31,AFG,YR1991,
32,AFG,YR1992,
33,AFG,YR1993,
34,AFG,YR1994,
35,AFG,YR1995,
36,AFG,YR1996,
37,AFG,YR1997,
38,AFG,YR1998,
39,AFG,YR1999,
40,AFG,YR2000,4.44689083099365
41,AFG,YR2001,9.29452705383301
42,AFG,YR2002,14.1336164474487
43,AFG,YR2003,18.9711647033691
44,AFG,YR2004,23.8141822814941
45,AFG,YR2005,28.6696720123291
46,AFG,YR2006,33.5444183349609
47,AFG,YR2007,38.4400024414063
48,AFG,YR2008,42.4
49,AFG,YR2009,48.2790069580078
50,AFG,YR2010,42.7
51,AFG,YR2011,43.2220189082037
52,AFG,YR2012,69.1
53,AFG,YR2013,68.0408782958984
54,AFG,YR2014,89.5
55,AFG,YR2015,71.5
56,AFG,YR2016,97.7
57,AFG,YR2017,97.7
58,AFG,YR2018,93.4308776855469
59,AFG,YR2019,97.7
60,AFG,YR2020,97.7
61,AFG,YR2021,97.7
62,AFG,YR2022,
63,AGO,YR1960,
64,AGO,YR1961,
65,AGO,YR1962,
66,AGO,YR1963,
67,AGO,YR1964,
68,AGO,YR1965,
69,AGO,YR1966,
70,AGO,YR1967,
71,AGO,YR1968,
72,AGO,YR1969,
73,AGO,YR1970,
74,AGO,YR1971,
75,AGO,YR1972,
76,AGO,YR1973,
77,AGO,YR1974,
78,AGO,YR1975,
79,AGO,YR1976,
80,AGO,YR1977,
81,AGO,YR1978,
82,AGO,YR1979,
83,AGO,YR1980,
84,AGO,YR1981,
85,AGO,YR1982,
86,AGO,YR1983,
87,AGO,YR1984,
88,AGO,YR1985,
89,AGO,YR1986,
90,AGO,YR1987,
91,AGO,YR1988,
92,AGO,YR1989,
93,AGO,YR1990,
94,AGO,YR1991,
95,AGO,YR1992,
96,AGO,YR1993,
97,AGO,YR1994,
98,AGO,YR1995,
99,AGO,YR1996,
100,AGO,YR1997,
101,AGO,YR1998,
102,AGO,YR1999,
103,AGO,YR2000,24.2388648986816
104,AGO,YR2001,20.0
105,AGO,YR2002,26.320255279541
106,AGO,YR2003,27.3551368713379
107,AGO,YR2004,28.3954849243164
108,AGO,YR2005,29.4483089447021
109,AGO,YR2006,30.5203876495361
110,AGO,YR2007,37.5
111,AGO,YR2008,38.49
112,AGO,YR2009,33.8469772338867
113,AGO,YR2010,34.980052947998
114,AGO,YR2011,34.6
115,AGO,YR2012,37.2594909667969
116,AGO,YR2013,38.3981781005859
117,AGO,YR2014,32.0
118,AGO,YR2015,42.0
119,AGO,YR2016,41.7850341796875
120,AGO,YR2017,42.9062423706055
121,AGO,YR2018,45.29
122,AGO,YR2019,45.6338806152344
123,AGO,YR2020,46.9554443359375
124,AGO,YR2021,48.2238540649414
125,AGO,YR2022,
126,ALB,YR1960,
127,ALB,YR1961,
128,ALB,YR1962,
129,ALB,YR1963,
130,ALB,YR1964,
131,ALB,YR1965,
132,ALB,YR1966,
133,ALB,YR1967,
134,ALB,YR1968,
135,ALB,YR1969,
136,ALB,YR1970,
137,ALB,YR1971,
138,ALB,YR1972,
139,ALB,YR1973,
140,ALB,YR1974,
141,ALB,YR1975,
142,ALB,YR1976,
143,ALB,YR1977,
144,ALB,YR1978,
145,ALB,YR1979,
146,ALB,YR1980,
147,ALB,YR1981,
148,ALB,YR1982,
149,ALB,YR1983,
150,ALB,YR1984,
151,ALB,YR1985,
152,ALB,YR1986,
153,ALB,YR1987,
154,ALB,YR1988,
155,ALB,YR1989,
156,ALB,YR1990,100.0
157,ALB,YR1991,100.0
158,ALB,YR1992,100.0
159,ALB,YR1993,100.0
160,ALB,YR1994,100.0
161,ALB,YR1995,100.0
162,ALB,YR1996,100.0
163,ALB,YR1997,100.0
164,ALB,YR1998,100.0
165,ALB,YR1999,100.0
166,ALB,YR2000,99.4308547973633
167,ALB,YR2001,99.421989440918
168,ALB,YR2002,99.4045791625977
169,ALB,YR2003,99.385627746582
