,economy,time,ID.OWN.BRTH.ZS
0,AFG,YR2006,
1,AFG,YR2007,
2,AFG,YR2008,
3,AFG,YR2009,
4,AFG,YR2010,
5,AFG,YR2011,
6,AFG,YR2012,
7,AFG,YR2013,
8,AFG,YR2014,
9,AFG,YR2015,19.8
10,AFG,YR2016,
11,AFG,YR2017,
12,AFG,YR2018,
13,AFG,YR2019,
14,AFG,YR2020,
15,AFG,YR2021,
16,AGO,YR2006,
17,AGO,YR2007,
18,AGO,YR2008,
19,AGO,YR2009,
20,AGO,YR2010,
21,AGO,YR2011,
22,AGO,YR2012,
23,AGO,YR2013,
24,AGO,YR2014,
25,AGO,YR2015,
26,AGO,YR2016,13.2
27,AGO,YR2017,
28,AGO,YR2018,
29,AGO,YR2019,
30,AGO,YR2020,
31,AGO,YR2021,
32,ALB,YR2006,
33,ALB,YR2007,
34,ALB,YR2008,
35,ALB,YR2009,
36,ALB,YR2010,
37,ALB,YR2011,
38,ALB,YR2012,
39,ALB,YR2013,
40,ALB,YR2014,
41,ALB,YR2015,
42,ALB,YR2016,
43,ALB,YR2017,
44,ALB,YR2018,84.6
45,ALB,YR2019,
46,ALB,YR2020,
47,ALB,YR2021,
48,AND,YR2006,
49,AND,YR2007,
50,AND,YR2008,
51,AND,YR2009,
52,AND,YR2010,
53,AND,YR2011,
54,AND,YR2012,
55,AND,YR2013,
56,AND,YR2014,
57,AND,YR2015,
58,AND,YR2016,
59,AND,YR2017,
60,AND,YR2018,
61,AND,YR2019,
62,AND,YR2020,100.0
63,AND,YR2021,
64,ARE,YR2006,
65,ARE,YR2007,
66,ARE,YR2008,
67,ARE,YR2009,
68,ARE,YR2010,
69,ARE,YR2011,
70,ARE,YR2012,
71,ARE,YR2013,
72,ARE,YR2014,
73,ARE,YR2015,
74,ARE,YR2016,
75,ARE,YR2017,
76,ARE,YR2018,
77,ARE,YR2019,
78,ARE,YR2020,
79,ARE,YR2021,
80,ARG,YR2006,
81,ARG,YR2007,
82,ARG,YR2008,
83,ARG,YR2009,
84,ARG,YR2010,
85,ARG,YR2011,
86,ARG,YR2012,
87,ARG,YR2013,
88,ARG,YR2014,
89,ARG,YR2015,
90,ARG,YR2016,
91,ARG,YR2017,
92,ARG,YR2018,
93,ARG,YR2019,
94,ARG,YR2020,98.0
95,ARG,YR2021,
96,ARM,YR2006,
97,ARM,YR2007,
98,ARM,YR2008,
99,ARM,YR2009,
100,ARM,YR2010,
101,ARM,YR2011,
102,ARM,YR2012,
103,ARM,YR2013,
104,ARM,YR2014,
105,ARM,YR2015,
106,ARM,YR2016,98.6
107,ARM,YR2017,
108,ARM,YR2018,
109,ARM,YR2019,
110,ARM,YR2020,
111,ARM,YR2021,
112,AUS,YR2006,
113,AUS,YR2007,
114,AUS,YR2008,
115,AUS,YR2009,
116,AUS,YR2010,
117,AUS,YR2011,
118,AUS,YR2012,
119,AUS,YR2013,
120,AUS,YR2014,
121,AUS,YR2015,
122,AUS,YR2016,
123,AUS,YR2017,
124,AUS,YR2018,
125,AUS,YR2019,100.0
126,AUS,YR2020,
127,AUS,YR2021,
128,AUT,YR2006,
129,AUT,YR2007,
130,AUT,YR2008,
131,AUT,YR2009,
132,AUT,YR2010,
133,AUT,YR2011,
134,AUT,YR2012,
135,AUT,YR2013,
136,AUT,YR2014,
137,AUT,YR2015,
138,AUT,YR2016,
139,AUT,YR2017,
140,AUT,YR2018,
141,AUT,YR2019,100.0
142,AUT,YR2020,
143,AUT,YR2021,
144,AZE,YR2006,88.3
145,AZE,YR2007,
146,AZE,YR2008,
147,AZE,YR2009,
148,AZE,YR2010,
149,AZE,YR2011,
150,AZE,YR2012,
151,AZE,YR2013,
152,AZE,YR2014,
153,AZE,YR2015,
154,AZE,YR2016,
155,AZE,YR2017,
156,AZE,YR2018,
157,AZE,YR2019,
158,AZE,YR2020,
159,AZE,YR2021,
160,BDI,YR2006,
161,BDI,YR2007,
162,BDI,YR2008,
163,BDI,YR2009,
164,BDI,YR2010,
165,BDI,YR2011,
166,BDI,YR2012,
167,BDI,YR2013,
168,BDI,YR2014,
