,economy,time,EN.ATM.CO2E.PC
0,AFG,YR1960,
1,AFG,YR1961,
2,AFG,YR1962,
3,AFG,YR1963,
4,AFG,YR1964,
5,AFG,YR1965,
6,AFG,YR1966,
7,AFG,YR1967,
8,AFG,YR1968,
9,AFG,YR1969,
10,AFG,YR1970,
11,AFG,YR1971,
12,AFG,YR1972,
13,AFG,YR1973,
14,AFG,YR1974,
15,AFG,YR1975,
16,AFG,YR1976,
17,AFG,YR1977,
18,AFG,YR1978,
19,AFG,YR1979,
20,AFG,YR1980,
21,AFG,YR1981,
22,AFG,YR1982,
23,AFG,YR1983,
24,AFG,YR1984,
25,AFG,YR1985,
26,AFG,YR1986,
27,AFG,YR1987,
28,AFG,YR1988,
29,AFG,YR1989,
30,AFG,YR1990,0.191389344873899
31,AFG,YR1991,0.180673785712218
32,AFG,YR1992,0.126516979194494
33,AFG,YR1993,0.109105697327004
34,AFG,YR1994,0.0966377461048794
35,AFG,YR1995,0.0887811567538702
36,AFG,YR1996,0.0822665176792927
37,AFG,YR1997,0.0755586978539722
38,AFG,YR1998,0.0712697016384245
39,AFG,YR1999,0.0582468417051747
40,AFG,YR2000,0.0551666066110075
41,AFG,YR2001,0.0552927191691124
42,AFG,YR2002,0.0668101379335566
43,AFG,YR2003,0.0730049683971786
44,AFG,YR2004,0.0548667587320485
45,AFG,YR2005,0.0803611343666108
46,AFG,YR2006,0.0897569086344725
47,AFG,YR2007,0.109940042004685
48,AFG,YR2008,0.165573354936329
49,AFG,YR2009,0.239506900543419
50,AFG,YR2010,0.304230215945755
51,AFG,YR2011,0.408965290862913
52,AFG,YR2012,0.335061035441608
53,AFG,YR2013,0.29808781267706
54,AFG,YR2014,0.283692395910162
55,AFG,YR2015,0.297971774718822
56,AFG,YR2016,0.268358772656602
57,AFG,YR2017,0.281195815732375
58,AFG,YR2018,0.299082634225993
59,AFG,YR2019,0.297563650500103
60,AFG,YR2020,0.223478872007068
61,AFG,YR2021,
62,AFG,YR2022,
63,AGO,YR1960,
64,AGO,YR1961,
65,AGO,YR1962,
66,AGO,YR1963,
67,AGO,YR1964,
68,AGO,YR1965,
69,AGO,YR1966,
70,AGO,YR1967,
71,AGO,YR1968,
72,AGO,YR1969,
73,AGO,YR1970,
74,AGO,YR1971,
75,AGO,YR1972,
76,AGO,YR1973,
77,AGO,YR1974,
78,AGO,YR1975,
79,AGO,YR1976,
80,AGO,YR1977,
81,AGO,YR1978,
82,AGO,YR1979,
83,AGO,YR1980,
84,AGO,YR1981,
85,AGO,YR1982,
86,AGO,YR1983,
87,AGO,YR1984,
88,AGO,YR1985,
89,AGO,YR1986,
90,AGO,YR1987,
91,AGO,YR1988,
92,AGO,YR1989,
93,AGO,YR1990,0.554941321223965
94,AGO,YR1991,0.545806578970717
95,AGO,YR1992,0.544412918195889
96,AGO,YR1993,0.710960886682052
97,AGO,YR1994,0.839266378156461
98,AGO,YR1995,0.914264569512932
99,AGO,YR1996,1.07363027389308
100,AGO,YR1997,1.08632515611104
101,AGO,YR1998,1.09117253852185
102,AGO,YR1999,1.10979107292515
103,AGO,YR2000,0.988416415650984
104,AGO,YR2001,0.941818496696915
105,AGO,YR2002,0.89571680151659
106,AGO,YR2003,0.924988063014922
107,AGO,YR2004,0.929811079517077
108,AGO,YR2005,0.812875087547097
109,AGO,YR2006,0.821263801721427
110,AGO,YR2007,0.811413505818644
111,AGO,YR2008,0.888609844897006
112,AGO,YR2009,0.939457360187463
113,AGO,YR2010,0.975916771759854
114,AGO,YR2011,0.983787081068222
115,AGO,YR2012,0.947583107262692
116,AGO,YR2013,1.0310436355189
117,AGO,YR2014,1.0914970571178
118,AGO,YR2015,1.12518536428885
119,AGO,YR2016,1.01255212444657
120,AGO,YR2017,0.829723216824015
121,AGO,YR2018,0.755827619476188
122,AGO,YR2019,0.753638205444169
123,AGO,YR2020,0.592742967779037
124,AGO,YR2021,
125,AGO,YR2022,
126,ALB,YR1960,
127,ALB,YR1961,
128,ALB,YR1962,
129,ALB,YR1963,
130,ALB,YR1964,
131,ALB,YR1965,
132,ALB,YR1966,
133,ALB,YR1967,
134,ALB,YR1968,
135,ALB,YR1969,
136,ALB,YR1970,
137,ALB,YR1971,
138,ALB,YR1972,
139,ALB,YR1973,
140,ALB,YR1974,
141,ALB,YR1975,
142,ALB,YR1976,
143,ALB,YR1977,
144,ALB,YR1978,
145,ALB,YR1979,
146,ALB,YR1980,
147,ALB,YR1981,
148,ALB,YR1982,
149,ALB,YR1983,
150,ALB,YR1984,
151,ALB,YR1985,
152,ALB,YR1986,
153,ALB,YR1987,
154,ALB,YR1988,
155,ALB,YR1989,
