,economy,time,CC.EST
0,AFG,YR1960,
1,AFG,YR1961,
2,AFG,YR1962,
3,AFG,YR1963,
4,AFG,YR1964,
5,AFG,YR1965,
6,AFG,YR1966,
7,AFG,YR1967,
8,AFG,YR1968,
9,AFG,YR1969,
10,AFG,YR1970,
11,AFG,YR1971,
12,AFG,YR1972,
13,AFG,YR1973,
14,AFG,YR1974,
15,AFG,YR1975,
16,AFG,YR1976,
17,AFG,YR1977,
18,AFG,YR1978,
19,AFG,YR1979,
20,AFG,YR1980,
21,AFG,YR1981,
22,AFG,YR1982,
23,AFG,YR1983,
24,AFG,YR1984,
25,AFG,YR1985,
26,AFG,YR1986,
27,AFG,YR1987,
28,AFG,YR1988,
29,AFG,YR1989,
30,AFG,YR1990,
31,AFG,YR1991,
32,AFG,YR1992,
33,AFG,YR1993,
34,AFG,YR1994,
35,AFG,YR1995,
36,AFG,YR1996,-1.29170477390289
37,AFG,YR1997,
38,AFG,YR1998,-1.17601227760315
39,AFG,YR1999,
40,AFG,YR2000,-1.27172422409058
41,AFG,YR2001,
42,AFG,YR2002,-1.25113701820374
43,AFG,YR2003,-1.34417974948883
44,AFG,YR2004,-1.35064733028412
45,AFG,YR2005,-1.44725239276886
46,AFG,YR2006,-1.44629228115082
47,AFG,YR2007,-1.61325109004974
48,AFG,YR2008,-1.67209553718567
49,AFG,YR2009,-1.55229878425598
50,AFG,YR2010,-1.64539110660553
51,AFG,YR2011,-1.60047078132629
52,AFG,YR2012,-1.43037283420563
53,AFG,YR2013,-1.44590842723846
54,AFG,YR2014,-1.36474287509918
55,AFG,YR2015,-1.35423982143402
56,AFG,YR2016,-1.54035270214081
57,AFG,YR2017,-1.53190970420837
58,AFG,YR2018,-1.50288057327271
59,AFG,YR2019,-1.41949915885925
60,AFG,YR2020,-1.49369978904724
61,AFG,YR2021,-1.15232741832733
62,AFG,YR2022,-1.18377649784088
63,AGO,YR1960,
64,AGO,YR1961,
65,AGO,YR1962,
66,AGO,YR1963,
67,AGO,YR1964,
68,AGO,YR1965,
69,AGO,YR1966,
70,AGO,YR1967,
71,AGO,YR1968,
72,AGO,YR1969,
73,AGO,YR1970,
74,AGO,YR1971,
75,AGO,YR1972,
76,AGO,YR1973,
77,AGO,YR1974,
78,AGO,YR1975,
79,AGO,YR1976,
80,AGO,YR1977,
81,AGO,YR1978,
82,AGO,YR1979,
83,AGO,YR1980,
84,AGO,YR1981,
85,AGO,YR1982,
86,AGO,YR1983,
87,AGO,YR1984,
88,AGO,YR1985,
89,AGO,YR1986,
90,AGO,YR1987,
91,AGO,YR1988,
92,AGO,YR1989,
93,AGO,YR1990,
94,AGO,YR1991,
95,AGO,YR1992,
96,AGO,YR1993,
97,AGO,YR1994,
98,AGO,YR1995,
99,AGO,YR1996,-1.1677018404007
100,AGO,YR1997,
101,AGO,YR1998,-1.1804506778717
102,AGO,YR1999,
103,AGO,YR2000,-1.197514295578
104,AGO,YR2001,
105,AGO,YR2002,-1.15549266338348
106,AGO,YR2003,-1.33546328544617
107,AGO,YR2004,-1.37756884098053
108,AGO,YR2005,-1.32318198680878
109,AGO,YR2006,-1.24103772640228
110,AGO,YR2007,-1.30749356746674
111,AGO,YR2008,-1.30876457691193
112,AGO,YR2009,-1.39776611328125
113,AGO,YR2010,-1.33247494697571
114,AGO,YR2011,-1.36746907234192
115,AGO,YR2012,-1.30240142345428
116,AGO,YR2013,-1.33687472343445
117,AGO,YR2014,-1.45779824256897
118,AGO,YR2015,-1.42732346057892
119,AGO,YR2016,-1.48333728313446
120,AGO,YR2017,-1.44433307647705
121,AGO,YR2018,-1.19925093650818
122,AGO,YR2019,-1.05841791629791
123,AGO,YR2020,-0.938672542572021
124,AGO,YR2021,-0.651610195636749
125,AGO,YR2022,-0.601941287517548
126,ALB,YR1960,
127,ALB,YR1961,
128,ALB,YR1962,
129,ALB,YR1963,
130,ALB,YR1964,
131,ALB,YR1965,
132,ALB,YR1966,
133,ALB,YR1967,
134,ALB,YR1968,
135,ALB,YR1969,
136,ALB,YR1970,
137,ALB,YR1971,
138,ALB,YR1972,
139,ALB,YR1973,
140,ALB,YR1974,
141,ALB,YR1975,
142,ALB,YR1976,
143,ALB,YR1977,
144,ALB,YR1978,
145,ALB,YR1979,
146,ALB,YR1980,
147,ALB,YR1981,
148,ALB,YR1982,
149,ALB,YR1983,
150,ALB,YR1984,
151,ALB,YR1985,
152,ALB,YR1986,
153,ALB,YR1987,
154,ALB,YR1988,
155,ALB,YR1989,
156,ALB,YR1990,
157,ALB,YR1991,
158,ALB,YR1992,
159,ALB,YR1993,
160,ALB,YR1994,
161,ALB,YR1995,
