,economy,time,NYGDPMKTPKDZ
0,AFG,2021,-20.700001
1,AFG,2022,
2,AFG,2023,
3,AFG,2024,
4,AFG,2025,
5,AGO,2021,1.2
6,AGO,2022,3.0
7,AGO,2023,0.5
8,AGO,2024,2.8
9,AGO,2025,3.0999999
10,ALB,2021,8.8999996
11,ALB,2022,4.8000002
12,ALB,2023,3.5999999
13,ALB,2024,3.2
14,ALB,2025,3.2
15,AME,2021,5.5
16,AME,2022,2.5
17,AME,2023,1.5
18,AME,2024,1.2
19,AME,2025,1.6
20,ARE,2021,3.5
21,ARE,2022,6.5999999
22,ARE,2023,3.4000001
23,ARE,2024,3.7
24,ARE,2025,3.8
25,ARG,2021,10.7
26,ARG,2022,5.0
27,ARG,2023,-2.5
28,ARG,2024,2.7
29,ARG,2025,3.2
30,ARM,2021,5.8000002
31,ARM,2022,12.6
32,ARM,2023,7.0999999
33,ARM,2024,4.6999998
34,ARM,2025,4.5
35,AZE,2021,5.5999999
36,AZE,2022,4.5999999
37,AZE,2023,1.5
38,AZE,2024,2.4000001
39,AZE,2025,2.5
40,BDI,2021,3.0999999
41,BDI,2022,1.8
42,BDI,2023,2.9000001
43,BDI,2024,4.1999998
44,BDI,2025,4.5
45,BEN,2021,7.1999998
46,BEN,2022,6.3000002
47,BEN,2023,5.8000002
48,BEN,2024,6.0
49,BEN,2025,6.0
50,BFA,2021,6.9000001
51,BFA,2022,1.5
52,BFA,2023,4.3000002
53,BFA,2024,4.8000002
54,BFA,2025,5.0999999
55,BGD,2021,6.9000001
56,BGD,2022,7.0999999
57,BGD,2023,6.0
58,BGD,2024,5.5999999
59,BGD,2025,5.8000002
60,BGR,2021,7.6999998
61,BGR,2022,3.9000001
62,BGR,2023,1.7
63,BGR,2024,2.4000001
64,BGR,2025,3.3
65,BHR,2021,2.7
66,BHR,2022,4.9000001
67,BHR,2023,2.8
68,BHR,2024,3.3
69,BHR,2025,3.2
70,BHS,2021,17.0
71,BHS,2022,14.4
72,BHS,2023,4.3000002
73,BHS,2024,1.8
74,BHS,2025,1.6
75,BIH,2021,7.4000001
76,BIH,2022,3.9000001
77,BIH,2023,2.2
78,BIH,2024,2.8
79,BIH,2025,3.4000001
80,BLR,2021,2.4000001
81,BLR,2022,-4.6999998
82,BLR,2023,3.0
83,BLR,2024,0.80000001
84,BLR,2025,0.80000001
85,BLZ,2021,15.2
86,BLZ,2022,12.7
87,BLZ,2023,4.5
88,BLZ,2024,3.5
89,BLZ,2025,3.3
90,BOL,2021,6.0999999
91,BOL,2022,3.5
