"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Date
Nicaragua,18491,,225,,4225,,14041,,2726,33,,,6782318,2022-07-03
Grenada,18376,,232,,17990,,154,4,161808,2043,171046,1506124,113567,2022-07-03
San Marino,18092,,115,,17545,,432,4,530962,3375,152231,4467659,34074,2022-07-03
Liechtenstein,17935,,85,,17672,,178,3,467703,2217,102174,2664459,38347,2022-07-03
Tajikistan,17786,,125,,17264,,397,,1785,13,,,9966416,2022-07-03
South Sudan,17722,,138,,15630,,1954,1,1547,12,410280,35812,11456417,2022-07-03
Bermuda,16162,,140,,15793,,229,,261445,2265,950858,15381572,61818,2022-07-03
Equatorial Guinea,16087,,183,,15748,,156,5,10759,122,339764,227231,1495234,2022-07-03
Djibouti,15690,,189,,15427,,74,,15431,186,305941,300898,1016759,2022-07-03
Samoa,14964,,29,,1605,,13330,4,74428,144,158240,787056,201053,2022-07-03
Dominica,14852,,68,,14554,,230,,205297,940,210195,2905493,72344,2022-07-03
CAR,14649,,113,,6859,,7677,2,2931,23,81294,16266,4997851,2022-07-03
Monaco,13100,,57,,12801,,242,4,329154,1432,77770,1954069,39799,2022-07-03
Tonga,12301,,12,,12120,,169,,113800,111,535009,4949525,108093,2022-07-03
Gambia,12002,,365,,11591,,46,,4702,143,155686,60992,2552551,2022-07-03
Greenland,11971,,21,,2761,,9189,4,210139,369,164926,2895115,56967,2022-07-03
Yemen,11824,,2149,,9108,,567,23,380,69,265253,8518,31140761,2022-07-03
Vanuatu,11389,36,14,,11198,2,177,,35423,44,24976,77683,321510,2022-07-03
Saint Martin,10668,,63,,1399,,9206,7,266793,1576,112382,2810534,39986,2022-07-03
Sint Maarten,10580,,87,,10459,,34,10,241277,1984,62056,1415188,43850,2022-07-03
Caribbean Netherlands,10400,,35,,10273,,92,,389353,1310,30126,1127850,26711,2022-07-03
Eritrea,9801,,103,,9684,,14,,2689,28,23693,6501,3644670,2022-07-03
Niger,9031,,310,,8628,,93,1,348,12,254538,9805,25960317,2022-07-03
Antigua and Barbuda,8665,,141,,8486,,38,1,87040,1416,18901,189861,99552,2022-07-03
Guinea-Bissau,8369,,171,,8124,,74,6,4060,83,144183,69954,2061098,2022-07-03
Comoros,8139,,160,,7933,,46,,8977,176,,,906678,2022-07-03
Sierra Leone,7702,,125,,,,,,928,15,259958,31314,8301675,2022-07-03
Liberia,7497,,294,,5747,,1456,2,1416,56,139824,26404,5295608,2022-07-03
Chad,7425,,193,,4874,,2358,,427,11,191341,11016,17369204,2022-07-03
St. Vincent Grenadines,7020,,114,,6641,,265,,62878,1021,100247,897909,111645,2022-07-03
British Virgin Islands,6941,,63,,,,,1,226578,2057,104909,3424594,30634,2022-07-03
Turks and Caicos,6219,,36,,6131,,52,4,156394,905,521408,13112234,39765,2022-07-03
Saint Kitts and Nevis,6157,,43,,5901,,213,,114120,797,100854,1869328,53952,2022-07-03
Sao Tome and Principe,6043,,73,,5950,,20,,26585,321,29036,127740,227305,2022-07-03
Cook Islands,5774,,1,,5764,,9,,328143,57,19618,1114912,17596,2022-07-03
Palau,5237,,6,,4579,,652,1,286692,328,61019,3340395,18267,2022-07-03
St. Barth,4630,,6,,,,,,465935,604,78646,7914461,9937,2022-07-03
Nauru,4417,349,1,,389,160,4027,,403011,91,11309,1031843,10960,2022-07-03
Anguilla,3456,,9,,3426,,21,4,226311,589,51382,3364678,15271,2022-07-03
Kiribati,3236,,13,,2665,,558,3,26284,106,,,123117,2022-07-03
Saint Pierre Miquelon,2779,,1,,2449,,329,1,484400,174,24116,4203591,5737,2022-07-03
Falkland Islands,1815,,,,,,,,492805,,8632,2343742,3683,2022-07-03
Montserrat,1020,2,8,,1008,,4,,204082,1601,14093,2819728,4998,2022-07-03
Wallis and Futuna,454,,7,,438,,9,,41863,645,20508,1891010,10845,2022-07-03
Macao,389,34,,,83,,306,,583,,6525,9782,667053,2022-07-03
Micronesia,38,,,,33,,5,,324,,21923,186680,117436,2022-07-03
Marshall Islands,26,,,,18,,8,,433,,,,59989,2022-07-03
Niue,20,1,,,10,,10,,12136,,,,1648,2022-07-03
China,225923,72,5226,,220165,50,532,,157,4,160000000,111163,1439323776,2022-07-04
USA,89686114,43695,1043735,59,85286101,113249,3356278,3454,267805,3117,1052987802,3144253,334892877,2022-07-04
India,43532788,14224,525242,19,42891933,12456,115613,698,30936,373,863999907,613986,1407199129,2022-07-04
Brazil,32536302,33833,672101,84,30967114,60539,897087,8318,150919,3118,63776166,295824,215587847,2022-07-04
France,31452173,24418,149726,97,29774233,73899,1528214,869,479725,2284,271490188,4140908,65562964,2022-07-04
Germany,28542484,147489,141397,102,26886400,143600,1514687,934,338499,1677,122332384,1450797,84320843,2022-07-04
UK,22741065,,180417,,22168766,10179,391882,146,331499,2630,522526476,7616923,68600728,2022-07-04
Italy,18806497,37023,168604,59,17617973,27590,1019920,303,311967,2797,227930923,3780972,60283684,2022-07-04
Russia,18442625,2866,381306,43,17869964,2276,191355,2300,126268,2611,273400000,1871835,146059857,2022-07-04
S. Korea,18395864,6253,24574,4,18231887,7970,139403,56,358192,478,15804065,307726,51357604,2022-07-04
Turkey,15180444,,99057,,15035727,,45660,975,176193,1150,162743369,1888892,86158117,2022-07-04
Spain,12872049,17955,108222,37,12280694,14293,483133,339,275096,2313,471036328,10066800,46791067,2022-07-04
Vietnam,10749324,685,43088,1,9715163,6179,991073,33,108476,435,85826548,866112,99094026,2022-07-04
Japan,9398126,22154,31316,8,9179820,13900,186990,62,74766,249,56860191,452346,125700721,2022-07-04
Argentina,9394326,,129109,,9184383,10525,80834,410,204105,2805,35716069,775980,46027040,2022-07-04
Australia,8254785,29661,10039,25,7979050,17866,265696,119,316361,385,74123177,2840739,26092921,2022-07-04
Netherlands,8203987,3803,22383,2,8069295,2899,112309,48,476675,1301,21107399,1226401,17210851,2022-07-04
Iran,7240564,1007,141404,8,7063479,193,35681,232,84048,1641,52298398,607077,86147833,2022-07-04
Colombia,6175181,,140070,,5984546,,50565,342,118822,2695,35539516,683847,51969959,2022-07-04
Indonesia,6095351,1434,156758,9,5922117,1868,16476,2771,21822,561,101079822,361877,279321000,2022-07-04
Mexico,6089600,6301,325788,13,5225805,12847,538007,4798,46257,2475,16650148,126475,131647947,2022-07-04
Poland,6016526,119,116435,,5335687,2,564404,408,159321,3083,36489187,966254,37763553,2022-07-04
Portugal,5201144,3307,24223,18,4809096,14620,367825,61,513078,2390,43527258,4293840,10137140,2022-07-04
Ukraine,5018019,,108656,,4906729,76,2634,177,116138,2515,19521252,451803,43207420,2022-07-04
DPRK,4755120,3040,73,,4749490,3910,5557,,182852,3,,,26005236,2022-07-04
Malaysia,4575809,1918,35784,8,4510643,2321,29382,44,137837,1078,61186343,1843118,33197199,2022-07-04
Thailand,4532100,1995,30721,18,4476564,2148,24815,1496,64605,438,17270775,246194,70150981,2022-07-04
Austria,4465315,7745,18798,,4336503,6842,110014,51,490188,2064,190833342,20949073,9109393,2022-07-04
Israel,4391284,19378,10984,7,4264371,,115929,310,470865,1178,41373364,4436346,9326000,2022-07-04
Belgium,4265296,4806,31952,8,4128080,1244,105264,79,364845,2733,34482371,2949553,11690711,2022-07-04
Chile,4030267,6570,58617,28,3681207,9864,290443,174,207264,3014,40715467,2093868,19445099,2022-07-04
South Africa,3995400,109,101815,3,3884454,565,9131,192,65706,1674,25766017,423731,60807524,2022-07-04
Canada,3950609,4522,42018,8,3562133,14,346458,195,102866,1094,62586673,1629631,38405429,2022-07-04
Czechia,3935575,157,40324,2,3889148,656,6103,8,366141,3751,55552982,5168299,10748795,2022-07-04
Taiwan,3893612,23087,7025,69,2996511,66067,890076,,162891,294,21241708,888657,23903162,2022-07-04
Switzerland,3780597,2845,13997,,3649174,1588,117426,49,430519,1594,21360334,2432430,8781479,2022-07-04
Greece,3729199,9360,30327,25,3542750,10502,156122,102,361319,2938,85770643,8310257,10321058,2022-07-04
Philippines,3709313,1115,60602,10,3638690,714,10021,431,32970,539,30857713,274280,112504508,2022-07-04
Peru,3640061,2532,213579,28,3389576,2128,36906,146,107400,6302,31654872,933979,33892483,2022-07-04
Denmark,3019264,3215,6487,16,2993062,2820,19715,12,517611,1112,127704991,21893231,5833081,2022-07-04
Romania,2927187,7726,65755,16,2847139,,14293,52,154220,3464,23542696,1240355,18980618,2022-07-04
Sweden,2519199,,19091,,2490639,398,9469,13,246365,1867,18669741,1825806,10225481,2022-07-04
Iraq,2359755,3491,25247,4,2312652,1354,21856,22,56142,601,18810531,447534,42031527,2022-07-04
Serbia,2033180,1260,16132,1,2005135,,11913,9,234592,1861,9929796,1145720,8666861,2022-07-04
Bangladesh,1980974,2285,29174,12,1908779,482,43021,2504,11793,174,14394819,85695,167978096,2022-07-04
Hungary,1928125,,46647,,1871930,,9548,5,200612,4853,11394556,1185549,9611203,2022-07-04
Slovakia,1797464,59,20151,,1772230,62,5083,5,328908,3687,7180477,1313917,5464941,2022-07-04
Jordan,1700526,,14068,,1685354,,1104,124,163415,1352,16894012,1623463,10406160,2022-07-04
Georgia,1662299,1870,16844,3,1637293,,8162,,418312,4239,16920079,4257883,3973824,2022-07-04
Ireland,1600614,,7467,,1558410,790,34737,33,317057,1479,12399233,2456100,5048342,2022-07-04
Pakistan,1538622,675,30403,2,1500046,,8173,138,6705,132,29045736,126567,229489182,2022-07-04
Singapore,1473180,5946,1419,1,1379113,8825,92648,11,247903,239,24098157,4055179,5942563,2022-07-04
Norway,1448679,451,3337,,1436319,248,9023,20,263099,606,11002430,1998187,5506206,2022-07-04
New Zealand,1364733,6871,1512,7,1312640,5767,50581,,272832,302,7291940,1457776,5002100,2022-07-04
Kazakhstan,1307172,,13663,,1292478,,1031,24,67987,711,11575012,602022,19226888,2022-07-04
Hong Kong,1254011,1841,9405,,1202690,237,41916,2,164592,1234,50415048,6617111,7618891,2022-07-04
Morocco,1226246,941,16120,3,1185916,2047,24210,293,32451,427,11978668,317001,37787478,2022-07-04
Bulgaria,1174216,942,37260,3,1085407,9372,51549,31,171577,5444,10120506,1478812,6843671,2022-07-04
Croatia,1151523,57,16082,3,1129943,892,5498,7,284007,3966,4949517,1220731,4054552,2022-07-04
Finland,1145610,,4875,,1100336,,40399,21,206120,877,11073562,1992376,5557969,2022-07-04
Lebanon,1116798,1079,10469,1,1087587,,18742,186,165104,1548,4795578,708964,6764210,2022-07-04
Cuba,1106167,43,8529,,1097412,17,226,23,97780,754,13852049,1224462,11312763,2022-07-04
Lithuania,1068678,52,9176,1,1038300,,21202,6,403849,3468,10011811,3783421,2646232,2022-07-04
Tunisia,1052180,,28691,,,,,29,87198,2378,4674032,387356,12066495,2022-07-04
Slovenia,1041426,277,6655,1,1024441,187,10330,10,500803,3200,2684730,1291039,2079511,2022-07-04
Belarus,982867,,6978,,,,,,104083,739,13220483,1400016,9443095,2022-07-04
Nepal,979835,34,11952,,967535,19,348,,32459,396,5763775,190934,30187200,2022-07-04
Uruguay,962251,,7351,,951293,,3607,18,275097,2102,6114822,1748162,3497857,2022-07-04
UAE,952960,1764,2319,,933257,1811,17384,,94074,229,171116421,16892172,10129924,2022-07-04
Bolivia,930173,629,21958,1,885955,1038,22260,220,77565,1831,2705422,225599,11992181,2022-07-04
Mongolia,928981,395,2179,,,,,192,274513,644,4030048,1190875,3384107,2022-07-04
Panama,925254,,8373,,903344,,13537,16,207880,1881,6597121,1482196,4450910,2022-07-04
Guatemala,921146,852,18616,16,859645,676,42885,5,49578,1002,4954708,266671,18579822,2022-07-04
Ecuador,913939,141,35745,,860758,1425,17436,759,50272,1966,2470170,135873,18180048,2022-07-04
Costa Rica,904934,,8525,,860711,,35698,52,174450,1643,4659757,898292,5187355,2022-07-04
Latvia,837182,923,5860,,826322,439,5000,10,453896,3177,7330543,3974411,1844435,2022-07-04
Saudi Arabia,797374,603,9211,,780532,946,7631,159,22211,257,43490843,1211424,35900605,2022-07-04
Azerbaijan,793388,17,9717,,783453,11,218,,76861,941,6972527,675478,10322354,2022-07-04
Sri Lanka,664181,14,16522,,647041,3,618,,30759,765,6486117,300378,21593189,2022-07-04
Paraguay,660841,,18994,,624673,,17174,6,90425,2599,2646163,362084,7308151,2022-07-04
Kuwait,646098,513,2556,,639011,510,4531,6,146935,581,8223642,1870215,4397164,2022-07-04
Bahrain,631562,1503,1495,1,617320,1979,12747,16,346991,821,10046743,5519855,1820110,2022-07-04
Myanmar,613659,11,19434,,592590,1,1635,,11129,352,8391136,152176,55140871,2022-07-04
Dominican Republic,611581,874,4383,,602825,2054,4373,26,55267,396,3508264,317032,11065954,2022-07-04
Palestine,586058,,5358,,578920,,1780,17,109767,1004,3078533,576602,5339095,2022-07-04
Estonia,580111,,2591,,522265,,55255,3,436724,1951,3408629,2566115,1328323,2022-07-04
Venezuela,527074,82,5735,,519053,199,2286,36,18641,203,3359014,118800,28274511,2022-07-04
Moldova,520321,,11567,,504142,,4612,49,129589,2881,3216305,801037,4015178,2022-07-04
Egypt,515645,,24613,,442182,,48850,122,4855,232,3693367,34776,106203025,2022-07-04
Cyprus,504717,,1072,,124370,,379275,60,412022,875,9477138,7736597,1224975,2022-07-04
Libya,502138,,6430,,490973,,4735,101,71139,911,2477219,350952,7058578,2022-07-04
Ethiopia,489502,161,7542,1,464598,396,17362,54,4057,63,5068517,42003,120670918,2022-07-04
Honduras,427718,,10906,,132498,,284314,105,41850,1067,1404069,137380,10220357,2022-07-04
Armenia,423417,174,8629,,412661,,2127,,142357,2901,3109931,1045586,2974342,2022-07-04
Réunion,422769,,812,,418572,,3385,10,465544,894,1603660,1765916,908118,2022-07-04
Oman,390244,,4260,,384669,,1315,2,72713,794,25000000,4658164,5366921,2022-07-04
Qatar,385163,700,679,,379439,656,5045,1,137176,242,3662067,1304245,2807805,2022-07-04
Bosnia and Herzegovina,379041,244,15807,1,,,,,116990,4879,1793974,553706,3239939,2022-07-04
Kenya,334551,302,5656,1,325438,612,3457,5,5959,101,3766986,67094,56145222,2022-07-04
