,continent,date,location,total_cases,total_deaths,median_age,female_smokers,male_smokers,life_expectancy,total_vaccinations,new_vaccinations,people_vaccinated,human_development_index,population
5067,South America,2022-03-08,Argentina,8948253.0,128177.0,31.9,16.2,27.7,76.67,95230085.0,105116.0,40907869.0,0.845,45510324.0
5068,South America,2022-03-09,Argentina,8954206.0,128187.0,31.9,16.2,27.7,76.67,95350858.0,120773.0,40915538.0,0.845,45510324.0
5069,South America,2022-03-10,Argentina,8959941.0,128202.0,31.9,16.2,27.7,76.67,95468562.0,117704.0,40926576.0,0.845,45510324.0
5070,South America,2022-03-11,Argentina,8964641.0,128208.0,31.9,16.2,27.7,76.67,95597338.0,128776.0,40936065.0,0.845,45510324.0
5071,South America,2022-03-12,Argentina,8966645.0,128214.0,31.9,16.2,27.7,76.67,95655187.0,57849.0,40939378.0,0.845,45510324.0
5072,South America,2022-03-13,Argentina,8967916.0,128215.0,31.9,16.2,27.7,76.67,95683668.0,28481.0,40940713.0,0.845,45510324.0
5073,South America,2022-03-14,Argentina,8972996.0,128229.0,31.9,16.2,27.7,76.67,95791278.0,107610.0,40949644.0,0.845,45510324.0
5074,South America,2022-03-15,Argentina,8977455.0,128236.0,31.9,16.2,27.7,76.67,95919432.0,128154.0,40958255.0,0.845,45510324.0
5075,South America,2022-03-16,Argentina,8981703.0,128251.0,31.9,16.2,27.7,76.67,96040790.0,121358.0,40966742.0,0.845,45510324.0
5076,South America,2022-03-17,Argentina,8986422.0,128259.0,31.9,16.2,27.7,76.67,96158865.0,118075.0,40974781.0,0.845,45510324.0
5077,South America,2022-03-18,Argentina,8999437.0,128261.0,31.9,16.2,27.7,76.67,96284184.0,125319.0,40981946.0,0.845,45510324.0
5078,South America,2022-03-19,Argentina,9000746.0,128263.0,31.9,16.2,27.7,76.67,96351703.0,67519.0,40984748.0,0.845,45510324.0
5079,South America,2022-03-20,Argentina,9001945.0,128266.0,31.9,16.2,27.7,76.67,96383646.0,31943.0,40985736.0,0.845,45510324.0
